NFE, Elapsed Time
1000, 0.09716240400000001
2000, 0.12404760100000001
3000, 0.16167947900000001
4000, 0.187801346
5000, 0.20722969700000002
6000, 0.22233597200000002
7000, 0.23855894300000002
8000, 0.25522606800000003
9000, 0.271591964
10000, 0.286957444
